代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳,是否次新股
sz002241,歌尔股份,30.42,0.28,0.929,30.42,30.43,30.14,30.3,30.86,29.98,100083601.0,3038312690.0,15:00:00,False
sz002938,鹏鼎控股,52.8,3.01,6.045,52.8,52.81,49.79,49.6,53.5,49.49,58616640.0,3034780254.0,15:00:00,False
sz002335,科华数据,58.53,2.22,3.942,58.52,58.53,56.31,57.31,59.19,57.31,52028469.0,3034002060.0,15:00:00,False
sz300604,长川科技,87.12,-0.7,-0.797,87.12,87.13,87.82,86.6,88.98,85.01,34362004.0,2988577458.0,16:29:45,False
sz002281,光迅科技,66.4,0.96,1.467,66.39,66.4,65.44,65.66,67.38,65.51,44980703.0,2987146152.0,15:00:00,False
sh688012,中微公司,276.5,0.24,0.087,276.5,276.51,276.26,272.21,279.0,271.66,10836933.0,2983536543.0,15:34:59,False
sh603799,华友钴业,62.67,-1.47,-2.292,62.67,62.68,64.14,63.8,63.8,61.9,47325639.0,2967294344.0,15:00:01,False
sz002916,深南电路,205.49,9.18,4.676,205.48,205.49,196.31,197.3,209.98,197.0,14540558.0,2960619496.0,15:00:00,False
sh600111,北方稀土,46.86,-0.32,-0.678,46.86,46.87,47.18,47.0,47.45,46.49,63176244.0,2959314020.0,15:00:00,False
sz002460,赣锋锂业,62.5,-0.49,-0.778,62.49,62.5,62.99,62.57,63.7,61.51,46847531.0,2926335624.0,15:00:00,False
sz000333,美的集团,80.2,-1.61,-1.968,80.2,80.21,81.81,81.5,81.56,79.94,35647940.0,2872571867.0,15:00:00,False
sh603296,华勤技术,97.28,3.93,4.21,97.27,97.28,93.35,99.0,100.88,96.01,28963116.0,2862991551.0,15:00:01,False
sz002371,北方华创,457.46,-5.54,-1.197,457.4,457.46,463.0,461.0,466.0,453.35,6163766.0,2833064388.0,15:00:00,False
